Word,Total,monthValue
baucus,174,-148
fareed zakaria,174,-106
tom daschle,173,-131
nelson,173,-125
malcolm x,173,-85
dick armey,173,-111
erskine bowles,173,-139
george stephanopoulos,172,-134
trump,172,-132
george wallace,172,-116
andrew jackson,172,-150
bernie madoff,172,-146
dick,171,-129
willie horton,171,-131
walter mondale,170,-118
daniel ellsberg,170,-116
david vitter,170,-128
harris,169,-101
nicolas sarkozy,169,-129
muammar gaddafi,169,-163
politico,168,-96
mitchell,168,-108
joe arpaio,168,-136
cesar chavez,167,-113
khalid sheikh mohammed,167,-127
michelle malkin,166,-128
william kristol,165,-109
gonzales,165,-131
anderson cooper,165,-97
michael brown,165,39
bernanke,165,-117
arianna,164,-104
mcchrystal,164,-144
joe scarborough,163,-99
larry king,163,-125
john ashcroft,163,-93
barbara lee,163,-87
jack abramoff,162,-102
van jones,162,-110
bob cesca,162,-128
tom tancredo,162,-122
mubarak,162,-126
levin,162,-116
huffington,162,-126
head start,162,-108
david gregory,161,-103
governor,161,-121
specter,161,-115
phil gramm,161,-117
hr,160,-114
ron wyden,160,-86
alito,160,-104
mike,160,-114
walter reed,160,-124
lewis,160,-102
michael,159,-121
steve jobs,159,-135
lee atwater,158,-94
joe mccarthy,158,-94
kagan,158,-106
panetta,158,-122
taylor marsh,157,-127
kirsten gillibrand,157,-119
stanford,157,-115
anthony kennedy,157,-109
labor day,157,-69
bill de blasio,157,-147
dems,156,-120
mikhail gorbachev,156,-96
chuck grassley,156,-128
jared bernstein,155,-119
jon kyl,155,-93
eleanor roosevelt,155,-111
webb,154,-72
evan bayh,154,-126
brian williams,154,-104
allen,153,-95
gary hart,153,-101
kristol,153,-101
lindsay graham,153,-97
edward kennedy,153,-95
john cornyn,153,-119
clint eastwood,153,-105
adam,153,-89
richard holbrooke,153,-135
baker,152,-88
memorial day,152,-80
sanders,151,-91
karl,150,-116
sam brownback,150,-88
lisa murkowski,150,-114
mary landrieu,150,-118
morgan chase,150,-86
lawrence summers,150,-88
pete peterson,150,-116
noam chomsky,149,-71
cameron,149,-113
tom friedman,148,-92
pope,148,-120
marshall plan,148,-82
klein,148,-110
henry paulson,148,-114
harry,147,-85
david letterman,147,-75
haley barbour,147,-91
larry craig,147,-127
rand,147,-41
urban radio network,147,-145
hoover,146,-84
samuel alito,146,-86
hamilton,146,-108
andy borowitz,146,-144
sunni,145,-109
john hagee,145,-113
ban ki-moon,145,-97
oprah winfrey,144,-98
peggy noonan,144,-108
mohammed,143,-85
steele,143,-125
shmuley boteach,143,-95
benazir bhutto,142,-100
joe sestak,142,-120
strom thurmond,142,-86
christ,142,-86
steny hoyer,141,-89
jim lehrer,141,-75
boxer,141,-83
patrick,141,-81
frederick douglass,140,-102
marshall,140,-82
madeleine albright,139,-67
o'reilly,139,-61
facebook,139,-97
joe miller,139,-127
napoleon,138,-60
pervez musharraf,138,-118
blair,137,-81
amy goodman,136,-96
jeff sessions,135,-113
spitzer,135,-69
charles grassley,135,-75
alexander,134,-84
david plouffe,134,-94
ann romney,134,-122
sotomayor,134,-48
greenwald,133,-89
laura bush,133,-57
harper,133,-89
gray davis,133,-109
brewer,133,-23
murdoch,132,-78
tom,132,-76
administration,132,-84
castro,132,-74
bob dylan,132,-78
bob mcdonnell,132,-106
mike mullen,132,-100
leahy,131,-67
kelly,131,-75
cindy mccain,131,-105
lloyd blankfein,131,-103
ferguson,131,-87
tina fey,131,-101
ted,130,-36
john kasich,130,-84
ike,129,-61
gavin newsom,129,-75
martha coakley,129,-89
michael jackson,129,-85
colbert,129,-71
city hall,129,-97
bill mckibben,129,-95
jan schakowsky,129,-59
harvey milk,129,-101
joseph mccarthy,128,-66
tim kaine,128,-28
naomi klein,128,-86
love,127,-59
durbin,127,-67
tony perkins,127,-59
karl marx,127,-79
steve schmidt,127,-105
issa,126,-72
kent conrad,126,-62
drew westen,126,-70
geraldine ferraro,126,-104
huntsman,126,-98
thomas paine,125,-83
trent lott,125,-67
secretary,125,-75
duncan,125,-69
buchanan,125,-71
musharraf,125,-107
john brennan,125,-103
hilary clinton,124,-68
dan quayle,124,-76
tammy baldwin,124,-66
david frum,123,-51
john paul stevens,123,-73
roger ailes,123,-85
james baker,123,-43
jane hamsher,123,-91
james inhofe,123,-71
tom brokaw,123,-77
speaker boehner,123,-79
hurricane katrina,122,-76
collins,122,-88
zimmerman,122,-62
cohen,121,-83
britney spears,121,-73
henry ford,121,-73
president reagan,121,-57
coulter,121,-81
peterson,121,-93
latino,121,-93
dick morris,120,-78
green,120,-64
kissinger,120,-64
mcgovern,120,-52
earl warren,120,-80
robert byrd,120,-78
senator,120,-68
luke,120,-68
greenspan,120,-68
madison,120,-50
assange,120,-100
joseph lieberman,119,-85
mike gravel,119,-109
desmond tutu,119,-47
charlie rose,119,-71
murray,119,-55
churchill,119,-67
muhammad,119,-87
twitter,119,-91
pope francis,119,-117
terry mcauliffe,118,-86
tim giago,118,-82
zbigniew brzezinski,118,-78
o'donnell,118,-24
jay leno,118,-56
ed rendell,118,-82
don imus,118,-84
jesse helms,118,-74
goldwater,118,-78
amitai etzioni,118,-74
samantha power,118,-78
mitch daniels,118,-90
tiger woods,118,-92
albert einstein,117,-69
nation,117,-37
jack,117,-65
john ensign,117,-89
craig,117,-45
marx,117,-57
robinson,117,-65
mark kirk,117,-99
rob portman,117,-53
drones,117,-105
patty murray,116,-48
edgar hoover,116,-76
david paterson,116,-68
anwar al-awlaki,116,-86
gee,115,-65
condi rice,115,-59
thurgood marshall,115,-61
deval patrick,115,-71
norm coleman,114,-72
pete wilson,114,-80
nancy reagan,114,-56
sullivan,114,-70
laura flanders,114,-98
ehud barak,114,-50
jeff merkley,114,-62
taylor,113,-53
sanford,113,-61
penn,113,-81
wendy davis,113,-109
adlai stevenson,112,-62
wesley clark,112,-74
mark warner,112,-26
howard,112,-52
cornel west,112,-66
governor palin,112,-96
rich,111,-75
saxby chambliss,111,-57
henry,111,-67
gloria steinem,111,-21
george lakoff,111,-59
mark udall,111,-41
michael mukasey,111,-73
mandela,110,24
mike bloomberg,110,-56
robert mcnamara,109,-71
cooper,109,-49
bob schieffer,109,-59
jay rockefeller,109,-57
clemons,109,-51
christopher hitchens,109,-51
axelrod,109,-89
mcdonald,109,-65
gaddafi,109,-89
allen west,109,-77
sandra fluke,109,-97
george tenet,108,-46
george allen,108,-70
walter cronkite,108,-48
john wayne,108,-30
rockefeller,108,-42
jack kennedy,108,-44
beyond outrage,108,-108
brent scowcroft,107,-57
feingold,107,-67
steve benen,107,-85
norquist,107,-85
john king,107,-33
bob corker,107,-67
cory booker,107,-63
andrew breitbart,107,-77
don ’,107,-81
tip o'neill,106,-60
casey,106,-32
joe klein,106,-68
martha,106,-60
matthews,106,-76
william f buckley,106,-64
chuck todd,106,-54
hispanics,106,-66
xi jinping,106,-96
tom hayden,105,-67
charlie rangel,105,-43
mark begich,105,-51
george mitchell,104,-24
qaeda,104,-52
crist,104,-84
ruth bader ginsburg,104,-54
timothy macbain,104,-82
david addington,103,-79
bob herbert,103,-67
wallace,103,-49
robertson,103,-41
paul wellstone,103,-53
nader,103,-59
christianity,103,-67
hispanic,103,-41
nikki haley,103,-55
shirley sherrod,103,19
clark,102,-56
charlie gibson,102,-44
patrick fitzgerald,102,-18
charlie,102,-36
franken,102,-58
richard mourdock,102,-98
dispatch book,102,-90
murphy,101,-57
speaker pelosi,101,-67
waxman,101,-53
antonio villaraigosa,101,-53
ali,101,-51
noah,101,-59
urban development,101,-53
teddy kennedy,101,-67
ben smith,100,-84
nicholas kristof,100,-34
goldman,100,-64
house republicans,100,-52
grassley,100,-48
dukakis,100,-54
tony snow,99,-51
anderson,99,-13
judge,99,-45
john quincy adams,99,-47
judd gregg,99,-79
al qaeda,99,-39
leo hindery,99,-73
aristotle,99,-43
dole,99,-61
hank paulson,99,-65
jindal,99,-61
warren buffet,99,-59
henry louis gates,99,11
lady gaga,99,-35
joseph,98,-62
edmund burke,98,-46
harold ford,98,-52
andrea mitchell,98,-76
chris wallace,98,-48
brennan,98,-70
arnold,98,-58
ted olson,98,-54
blagojevich,98,-80
richard shelby,98,-48
rebecca solnit,98,-86
reince priebus,98,-78
richard perle,97,-57
ted nugent,97,-61
director,97,-29
fred,97,-67
reed,97,-51
rahm,97,-45
giffords,97,51
lilly ledbetter,97,-49
wolfowitz,96,-64
ben franklin,96,-38
sam nunn,96,-48
jerry,96,-34
george miller,96,-32
dana milbank,96,-68
buffett,96,-42
napolitano,95,-29
maliki,95,-19
maxine waters,95,-21
eugene mccarthy,95,-51
jane mayer,95,-49
kirk,95,-65
blumenthal,95,-53
sam,94,-38
rangel,94,-44
morgan,94,-28
laura ingraham,94,-48
king abdullah,94,-38
isaiah,94,-50
ron suskind,94,-48
bob barr,94,-62
robert menendez,94,-42
coleman,94,-72
lawrence,93,-23
ehud olmert,93,-57
beverly hills,93,-45
falwell,93,-23
greg sargent,93,-51
miranda,93,-65
jeffrey toobin,93,-45
valerie jarrett,93,-51
race,93,-47
simon johnson,93,-67
dimon,93,-69
secret bases,93,-89
adam lanza,93,-89
woodward,92,-40
charles rangel,92,-58
martin dempsey,92,-68
pawlenty,92,-72
ayers,92,-66
charles koch,92,-60
russell pearce,92,-60
tea partiers,92,-54
george clooney,91,-37
bradley,91,-21
sarkozy,91,-57
george romney,91,-71
